,comment
0,"Skip navigation
Sign in
Up next in 8
12:34
TENSE: Rand Paul Accuses Blumenthal Of 'Personal Attack On Me' To His Face At USAID-Centric Hearing
Forbes Breaking News
70K views • 1 hour ago
CANCEL
PLAY NOW
1:35 / 1:35
Trump Asked Point Blank If He'll Put Tariffs On Japan—With Japanese PM Standing Feet Away
Forbes Breaking News
4.37M subscribers
Subscribe
2.3K
Share
Save
    
    
    
   
    
    
    
   313K views  6 days ago
At a press briefing with Japanese Prime Minister Shigeru Ishiba, President Trump was asked if he'll put tariffs on Japan.

Fuel your success with Forbes. Gain unlimited access to premium journalism, including breaking news, groundbreaking in-depth …
...more
The General® Auto Insurance
The General® gives you a break with great low rates on your car insurance.
Sponsored
The General®
Get quote
Karoline Leavitt Briefing: 'Thank You For That Ridiculous Question...': Trump's Press Secy Quips
Times Of India
8K watching
LIVE
32:20
JD Vance goes after European allies in Munich Security Conference speech | DW News
DW News
192K views 5 hours ago
New
4:11
Japan's PM Shigeru Ishiba: Trump's 'Frightening' On Television But This Is What He's Like In Private
Forbes Breaking News
324K views 6 days ago
New
LIVE: President Trump signs executive orders
FOX 13 Seattle
399 watching
LIVE
3:25
BREAKING NEWS: VP JD Vance & Sec. Marco Rubio Meet With Ukraine's Zelensky At Munich Security Event
Forbes Breaking News
45K views 2 hours ago
New
5:53
Why Chinese President Xi’s $93B Personal Megacity Remains Empty | WSJ
The Wall Street Journal
759K views 2 days ago
New
21:43
I Spent 100 Hours Inside The Pyramids!
MrBeast
104M views 6 days ago
New
12:24
‘Irony died while he was talking’: Nicolle Wallace on Elon Musk’s takeover of Oval Office 
MSNBC
968K views 2 days ago
New
14:09
🚨 Elon gets the bad news he's FEARED
Brian Tyler Cohen
949K views 23 hours ago
New
4:41
Why the BJP won in Delhi
Brut India
556K views 6 days ago
New
12:34
TENSE: Rand Paul Accuses Blumenthal Of 'Personal Attack On Me' To His Face At USAID-Centric Hearing
Forbes Breaking News
70K views 1 hour ago
New
13:18
Trump Joined by Suck-Up Elon Musk in Oval Office, Gets Tough on Straws & Doesn’t Endorse JD Vance
Jimmy Kimmel Live
3M views 2 days ago
New
5:20
Swalwell Asks Matt Taibbi About Whether Government Removing Press Credentials Constitutes Censorship
Forbes Breaking News
4.9K views 2 hours ago
New
14:16
Trade tariff turmoil pushes Canada to rethink US ties | DW News
DW News
1M views 1 day ago
New
9:51
‘Massacre’: Six DOJ officials resign in protest of ‘dangerous’ Trump abuse in widening scandal
MSNBC
394K views 19 hours ago
New
7:40
Poland's president reacts to Trump's claim Ukraine 'may be Russian someday'
CNN
750K views 3 days ago
New
4:45
BREAKING NEWS: Agriculture Secretary Brooke Rollins Promises Announcement To Lower Egg Prices
Forbes Breaking News
3.6K views 1 hour ago
New
14:00
Zelenskyy says he'll only talk to Putin - and only when a peace plan is in place | Ukraine War
Sky News
22K views 2 hours ago
New
14:12
Trump Offers HUGE Concessions to Putin, RFK Jr Made Health Czar & Aunt Chippy Meets Oscar the Grouch
Jimmy Kimmel Live
1.3M views 15 hours ago
New
5:21
Eric Burlison Plays Video For Democrats At DOGE Hearing To Show Them 'What Your Party Believed In'
Forbes Breaking News
214K views 2 hours ago
New
Show more
1,076 Comments
Sort by
Add a comment...
@Thatguygeorge3131
6 days ago
Japan is a true respectable ally.
1.1K
Reply
59 replies
@sanjogh777
6 days ago
Damn, those Toyotas are gonna be expensive as hell.
588
Reply
29 replies
@thelakeman5207
6 days ago
""Um, I'd never say that to his face, I'll do it when he goes home"".
271
Reply
2 replies
@Skarghan
5 days ago
These mutual tariffs between countries are basically just an extra tax for the consumer btw. You'll pay more for your goods because of the tariffs and the tariff money goes in the government pockets.
167
Reply
24 replies
@FluhanFauci
6 days ago
i like to imagine the Japanese PM was doing like the guy in the Dictator where hes motioning for the journalist to be dragged off and executed for asking that question
290
Reply
5 replies
@EveryDooDarnDiddlyDay
6 days ago
Reciprocal negotiated tariffs are called fair trade.  A trade war entails escalating tariffs in an aggressive fashion.  Negotiated trade and a trade war are NOT the same thing.
382
Reply
35 replies
@shauncaruna387
6 days ago
No tariffs on anime and manga please
128
Reply
4 replies
@Shotzeethegamer
6 days ago
We love Japan because they are respectfully racist
449
Reply
40 replies
@briantaylor2.023
6 days ago
Japan is a treasured ally! 
425
Reply
19 replies
@Mr23markm
6 days ago
""if everyone is charged tariffs then no one is charged tariffs""... Syndrome
154
Reply
19 replies
@elmalo5851
6 days ago
That gentleman just lost his seat to a Podcaster, influencer or content creator 
131
Reply
2 replies
@stop_lying_to_me
6 days ago
Tariffs are a tax on American businesses that import goods from foreign nations, collected by the U.S. government, with the revenue going to the U.S. Treasury. The cost of tariffs are passed on to the American consumer in the form of inflation.
82
Reply
35 replies
@hydrasoulz959
6 days ago
Having spent time in Japan from the military it was the most amazing country and people i ever met. Im glad we are such great allies and hope we continue to grow and prosper together.
87
Reply
8 replies
@FawazShalan
6 days ago
Tariffs on both sides, so consumers will pay more for goods in both countries. Great way to fight inflation
121
Reply
44 replies
@jessiefinch
6 days ago
""I've known him for a long time through reputation"" homie what
90
Reply
15 replies
@hezkeeldar
4 days ago
The prime minister of Japan looks like a Yakuza boss lol
2
Reply
@brentharrington9235
6 days ago
Japan and U.S. are ride or die partners.

Greatest ally?
78
Reply
5 replies
@earthtothe9791
6 days ago
Trump: we gonna put tariffs on Japan 
Japan bow 90°: Hai! Arigatou gozaimasu
21
Reply
1 reply
@Zachary_Walker
6 days ago
Japan and the USA are strong together
42
Reply
5 replies
@lionspride85
4 days ago
im surprised he didnt try a Hiroshima joke
4
Reply
3 replies
@kevingalligan2846
6 days ago
We love the Japanese people. Most Americans want to work WITH our allies, not against. Fair, mutually beneficial deals that benefit both countries and the people going forward.
39
Reply
4 replies
@Kitxne
1 day ago
It seems that Japanese media are the only reporters who ask the real questions unbiased questions
Reply
@travisnoface1300
6 days ago
The prime minister was not laughing and look like he don’t wanna be there at all
20
Reply
7 replies
@das-9962
6 days ago
“Head on the chopping block.” Goes a bit harder after watching shogun
1
Reply
@dolfanrob262
6 days ago
So we’re just gonna raise prices globally cause Trump likes saying tariffs.
7
Reply
@InthegameVR
5 days ago
If You have reciprocal tariffs...what's the gain Vs no tariffs?
2
Reply
1 reply
@astronewton1995
6 days ago
Why would you try to antagonist your own president with a foreign leader
46
Reply
7 replies
@Ont785
6 days ago
Homer Simpson as president.

“ I thought a tariff was a sticker”
Reply
@Itsme-vo4fx
5 days ago (edited)
“We charge them, they charge us. Very fair. Nobody loses”.
The people that lose are the ones that need to purchase things that have tariffs put on them.
But, then again, does Trump care about the people who have to pay more?
If even retaliatory tariffs cancel each other, why does Trump feel the need to bully countries with tariffs. Could it be that Trump is counting on using the tariffs revenue that “we the people” will be paying to cover the tax breaks he’s giving his rich friends/corporations? Trump is on record saying “tariffs will pay to lower taxes”. 
I realize that Trump’s supporters don’t have the mental capacity to know that that’s what is happening. But, what’s wrong with those who understand what’s happening but don’t have the balls to stand up to Trump.  Is everyone waiting for someone else to do something? That’s what happened in Germany. No one had the balls to stop Hitler and then it was too late.
11
Reply
5 replies
@Deadlyvoltage3
5 days ago
Please don’t because I’ve been getting into collecting manga
2
Reply
1 reply
@christiancapitalist501
6 days ago
Has what happened to Abe ever been fully investigated and disclosed?  He was a great PM of a great ally. Id like to know what happened. May God bless the USA and Japan
12
Reply
5 replies
@clarencekoh6921
6 days ago (edited)
One of the things that runs counterintuitively is the use of tariffs and how they can improve market efficiency. We are generally taught that tariffs increase costs. Consequently, if one side imposes a tariff, the other side should avoid it altogether. Maybe not. Reciprocal tariffs can encourage equity and, in the long run, lead to a reduction of tariffs altogether.

For example, if I make Product A less well than you and need tariffs to protect my market share, I am overall depriving my society of a better/cheaper version of Product A. If my government protects me via tariffs, the government is essentially abetting this deprivation. A reciprocal tariff can encourage open competition by putting a cost on this undesirable behavior.
2
Reply
@BobbyStanaland
6 days ago
Tariffs are not the only means of trade distortion.  For example:  When Japan exports cars to the US, the US will test and certify the class as meeting US standards.  When the US ships cars to Japan, each individual car has to be tested so that it meets Japan's standards.  This adds approximately $10,000 to each vehicle. I could be even more now because I am citing old data.
4
Reply
15 replies
@Lechqu
17 hours ago
No Tariffs on anything Japanese related please ): they’re our allies and they make amazing products
Reply
@jesseacewest
6 days ago
Translation: Strong man pay tariffs.
20
Reply
1 reply
@gregoryparkes1589
6 days ago
Huh???
2
Reply
@rsharmaosi
5 days ago
If tariff’s are reciprocal, why have them at all.
5
Reply
1 reply
@saver_spenta_mainyu
3 days ago
As a Navy veteran who was stationed in Japan for 2 years, the important and necessity of US-Japan's relation cannot be understated. 

Japan, South Korea, Australia, and the Philippines are our biggest allies when in comes to dealing with China and North Korea in that side of the hemisphere.
Reply
@MrSunshanmu
6 days ago
Hey look trump learned a new word, reciprocal .
4
Reply
2 replies
@MyThoughts19902X
2 days ago
Does Trump think applying tariffs is the only job of a President?
1
Reply"
1,
2,
3,
4,
5,
6,
7,Japan is a true respectable ally.
8,"Damn, those Toyotas are gonna be expensive as hell."
9,"""Um, I'd never say that to his face, I'll do it when he goes home""."
